"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.28405447153311e-21,2.02546012196261,0.06,0.004,2.75160032704831e-17,"9","WSB2"
1.28877109428325e-21,0.798500546485725,0.388,0.095,2.76170757793958e-17,"9","TMC6"
1.31077054488777e-21,0.635668969224233,0.517,0.144,2.80885020064e-17,"9","SRI"
1.31362174825912e-21,0.75962296183516,0.293,0.061,2.81496004434447e-17,"9","MICU2"
1.36069621663209e-21,0.891569098391851,0.147,0.019,2.91583592262092e-17,"9","HACD3"
1.36553808920267e-21,2.62987655067437,0.052,0.003,2.92621157135241e-17,"9","CLPB"
1.42984859913762e-21,0.371518518493084,0.31,0.067,3.064022563092e-17,"9","MRPL44"
1.43335798611722e-21,1.04742918891435,0.181,0.028,3.07154282845059e-17,"9","XAB2"
1.44107156598638e-21,1.21912367515178,0.155,0.021,3.08807225875222e-17,"9","HSPBP1"
1.45388028792002e-21,0.555453260191135,0.543,0.154,3.11552006898382e-17,"9","MRPL33"
1.50307470213724e-21,2.39702031563264,0.095,0.009,3.22093877920989e-17,"9","FAM174A"
1.54475571491459e-21,0.520496614749137,0.388,0.094,3.31025702149047e-17,"9","SNRPA1"
1.57295387063575e-21,1.69779262547149,0.138,0.017,3.37068284938535e-17,"9","KIFAP3"
1.67803924127383e-21,1.58547321342416,0.129,0.015,3.59587029012568e-17,"9","ELAC2"
1.71701569526853e-21,0.789548875632927,0.293,0.062,3.67939293339093e-17,"9","NKAP"
1.88335697220247e-21,0.81984056071175,0.276,0.056,4.03584565573268e-17,"9","HAUS1"
2.02385517158909e-21,0.768856656846756,0.293,0.062,4.33691924719826e-17,"9","MSI2"
2.05864342591949e-21,0.715251116535441,0.397,0.098,4.41146699740288e-17,"9","NDUFA10"
2.06685210398906e-21,1.23983319485451,0.198,0.033,4.42905737363815e-17,"9","ATG101"
2.06789739707657e-21,0.797744477711702,0.259,0.051,4.43129733219538e-17,"9","GLS"
